start_ts,weather_conditions,duration_seconds
11/25/17 12:00,Good,1380
11/25/17 16:00,Good,2410
11/25/17 14:00,Good,1920
11/25/17 12:00,Good,1543
11/4/17 10:00,Good,2512
11/11/17 7:00,Good,1440
11/11/17 4:00,Good,1320
11/4/17 16:00,Bad,2969
11/18/17 11:00,Good,2280
11/11/17 14:00,Good,2460
11/11/17 12:00,Good,2040
11/18/17 6:00,Good,1500
11/4/17 11:00,Good,2040
11/11/17 8:00,Good,1470
11/4/17 8:00,Good,1546
11/11/17 16:00,Good,2100
11/25/17 13:00,Good,60
11/4/17 12:00,Good,2640
11/25/17 10:00,Good,1502
11/11/17 12:00,Good,1915
11/4/17 12:00,Good,2769
11/11/17 13:00,Good,2250
11/11/17 4:00,Good,1260
11/18/17 14:00,Good,2826
11/4/17 14:00,Good,3360
11/4/17 14:00,Good,3180
11/25/17 20:00,Good,2100
11/4/17 10:00,Good,1800
11/11/17 12:00,Good,2289
11/4/17 8:00,Good,1494
11/11/17 11:00,Good,1560
11/18/17 12:00,Bad,1980
11/11/17 13:00,Good,2115
11/11/17 10:00,Good,1506
11/4/17 12:00,Good,2580
11/4/17 17:00,Bad,2460
11/11/17 9:00,Good,1620
11/4/17 6:00,Good,1163
11/4/17 5:00,Good,1533
11/11/17 4:00,Good,1477
11/11/17 19:00,Good,1984
11/4/17 13:00,Good,2940
11/4/17 7:00,Good,1320
11/4/17 6:00,Good,1440
11/11/17 6:00,Good,1260
11/11/17 8:00,Good,1560
11/4/17 9:00,Good,1683
11/11/17 5:00,Good,1343
11/18/17 6:00,Good,1742
11/4/17 9:00,Good,1560
11/11/17 8:00,Good,1358
11/11/17 12:00,Good,1980
11/4/17 16:00,Bad,2760
11/18/17 12:00,Bad,2460
11/25/17 12:00,Good,1380
11/18/17 10:00,Bad,1440
11/25/17 14:00,Good,1620
11/11/17 8:00,Good,1415
11/25/17 5:00,Good,1325
11/11/17 19:00,Good,1920
11/18/17 6:00,Good,2100
11/11/17 8:00,Good,1320
11/11/17 10:00,Good,1260
11/11/17 6:00,Good,1260
11/11/17 8:00,Good,1200
11/25/17 8:00,Good,1320
11/4/17 18:00,Bad,2363
11/11/17 18:00,Good,2280
11/25/17 10:00,Good,1320
11/4/17 6:00,Good,1140
11/11/17 18:00,Good,2520
11/18/17 16:00,Bad,3000
11/11/17 8:00,Good,1140
11/4/17 14:00,Good,3084
11/11/17 8:00,Good,1380
11/11/17 8:00,Good,1380
11/4/17 9:00,Good,1380
11/4/17 9:00,Good,1380
11/11/17 12:00,Good,2213
11/4/17 16:00,Bad,3120
11/11/17 15:00,Good,4800
11/4/17 5:00,Good,1260
11/11/17 6:00,Good,1346
11/18/17 11:00,Good,2843
11/11/17 10:00,Good,1435
11/11/17 17:00,Good,2426
11/4/17 9:00,Good,1740
11/25/17 7:00,Good,2340
11/18/17 5:00,Good,2075
11/4/17 4:00,Good,1333
11/4/17 11:00,Good,2574
11/11/17 12:00,Good,2441
11/4/17 14:00,Good,3300
11/18/17 7:00,Bad,1511
11/4/17 10:00,Good,2460
11/11/17 18:00,Good,2220
11/4/17 10:00,Good,2551
11/11/17 7:00,Good,1200
11/11/17 16:00,Good,2062
11/4/17 12:00,Good,2999
11/4/17 8:00,Good,1677
11/4/17 6:00,Good,1177
11/11/17 6:00,Good,1475
11/4/17 18:00,Bad,1980
11/4/17 15:00,Good,3201
11/25/17 18:00,Good,2760
11/11/17 9:00,Good,1380
11/11/17 7:00,Good,1380
11/18/17 8:00,Bad,1320
11/25/17 8:00,Good,1277
11/11/17 4:00,Good,1213
11/18/17 13:00,Bad,4044
11/4/17 21:00,Good,1680
11/11/17 11:00,Good,2074
11/4/17 16:00,Bad,2782
11/11/17 16:00,Good,2591
11/4/17 14:00,Good,3120
11/11/17 8:00,Good,1260
11/11/17 7:00,Good,1380
11/11/17 10:00,Good,1440
11/4/17 14:00,Good,3300
11/4/17 14:00,Good,3240
11/4/17 19:00,Good,1869
11/11/17 6:00,Good,1218
11/11/17 11:00,Good,1620
11/11/17 10:00,Good,1380
11/11/17 8:00,Good,1380
11/11/17 9:00,Good,1380
11/11/17 7:00,Good,1320
11/11/17 13:00,Good,2123
11/11/17 7:00,Good,1384
11/11/17 10:00,Good,1260
11/4/17 13:00,Good,3060
11/18/17 15:00,Good,3480
11/11/17 12:00,Good,2071
11/18/17 12:00,Bad,3024
11/11/17 11:00,Good,1380
11/25/17 6:00,Good,1200
11/18/17 13:00,Bad,3300
11/11/17 13:00,Good,2100
11/25/17 13:00,Good,1560
11/4/17 12:00,Good,2760
11/11/17 17:00,Good,2460
11/11/17 10:00,Good,1740
11/11/17 6:00,Good,1667
11/18/17 18:00,Good,2056
11/11/17 10:00,Good,1473
11/11/17 14:00,Good,2340
11/4/17 16:00,Bad,3180
11/4/17 11:00,Good,2220
11/18/17 14:00,Good,3540
11/4/17 14:00,Good,2778
11/18/17 6:00,Good,1420
11/11/17 21:00,Good,1920
11/4/17 14:00,Good,3480
11/25/17 20:00,Good,1980
11/18/17 10:00,Bad,2055
11/11/17 12:00,Good,2240
11/11/17 15:00,Good,2380
11/11/17 17:00,Good,2160
11/4/17 8:00,Good,1539
11/25/17 10:00,Good,1591
11/18/17 14:00,Good,2588
11/11/17 3:00,Good,1162
11/11/17 9:00,Good,0
11/18/17 9:00,Bad,1260
11/18/17 13:00,Bad,2940
11/18/17 16:00,Bad,2340
11/18/17 12:00,Bad,2220
11/11/17 7:00,Good,0
11/4/17 22:00,Good,1380
11/4/17 12:00,Good,2220
11/25/17 11:00,Good,1140
11/11/17 10:00,Good,1239
11/4/17 8:00,Good,1380
11/4/17 14:00,Good,2820
11/4/17 14:00,Good,3060
11/4/17 16:00,Bad,3130
11/18/17 15:00,Good,2877
11/18/17 12:00,Bad,2934
11/11/17 6:00,Good,1260
11/4/17 16:00,Bad,3270
11/18/17 19:00,Good,1860
11/11/17 11:00,Good,2054
11/11/17 16:00,Good,2293
11/11/17 6:00,Good,1500
11/4/17 15:00,Good,2880
11/25/17 9:00,Good,1473
11/25/17 4:00,Good,1384
11/4/17 10:00,Good,2525
11/4/17 8:00,Good,1323
11/4/17 8:00,Good,1323
11/4/17 12:00,Good,2160
11/18/17 8:00,Bad,1500
11/25/17 5:00,Good,1487
11/4/17 6:00,Good,1020
11/11/17 7:00,Good,1140
11/18/17 10:00,Bad,1440
11/4/17 10:00,Good,1883
11/11/17 14:00,Good,2225
11/18/17 11:00,Good,2415
11/4/17 14:00,Good,3411
11/18/17 12:00,Bad,2571
11/4/17 12:00,Good,2640
11/18/17 0:00,Bad,480
11/18/17 19:00,Good,0
11/11/17 10:00,Good,1414
11/11/17 12:00,Good,1981
11/11/17 8:00,Good,1200
11/4/17 11:00,Good,2160
11/11/17 15:00,Good,2400
11/11/17 20:00,Good,1500
11/18/17 14:00,Good,3660
11/25/17 14:00,Good,1740
